case_id,medicine_name,medicine_criticality,cold_chain_required,supplier_id,destination_facility,supplier_on_time_rate,supplier_fill_rate,lead_time_days,lead_time_variability,route_delay_days,weather_risk_score,demand_spike_factor,current_stock_days,warehouse_utilization,safety_stock_gap,disruption_within_7d
C230,Adrenaline Injection,5,0,S6,District Hospital Jaipur,0.868,0.865,6,3.0,5.14,6,0.52,6,67,2,1
C231,ORS,3,0,S3,District Hospital Ajmer,0.823,0.917,3,2.36,2.22,9,1.63,15,79,0,0
C232,Pentavalent Vaccine,5,1,S1,PHC Sikar,0.797,0.891,6,4.08,0.0,7,1.21,2,57,6,0
C233,Rabies Vaccine,5,1,S5,PHC Sikar,0.818,0.811,11,7.74,0.0,6,0.53,21,79,0,1
C234,Insulin,5,1,S7,PHC Sikar,0.628,0.938,5,0.34,3.74,1,0.5,4,50,4,1
C235,Iron Folic Acid,2,0,S10,District Hospital Ajmer,0.878,0.926,6,1.89,2.74,3,0.5,19,70,0,0
C236,Iron Folic Acid,2,0,S3,PHC Sikar,0.99,0.838,8,0.83,4.04,9,0.86,20,64,0,0
C237,Paracetamol Injection,3,0,S9,District Hospital Jodhpur,0.926,0.818,10,0.39,0.0,2,0.5,24,76,0,0
C238,ORS,3,0,S2,District Hospital Ajmer,0.844,0.928,4,4.29,0.0,4,1.44,24,72,0,1
C239,Oxytocin,5,0,S9,District Hospital Jaipur,0.742,0.873,7,1.4,0.0,3,1.24,15,90,0,1
C240,Pentavalent Vaccine,5,1,S10,CHC Bikaner,0.682,0.775,10,1.11,2.91,5,0.91,4,88,4,1
C241,Rabies Vaccine,5,1,S5,CHC Udaipur,0.99,0.958,8,5.2,2.19,10,1.05,17,60,0,1
C242,Rabies Vaccine,5,1,S9,District Hospital Jaipur,0.61,0.701,10,3.69,1.81,0,0.63,1,74,7,1
C243,Insulin,5,1,S9,PHC Alwar,0.884,0.949,8,3.72,1.37,6,0.93,9,78,0,0
C244,Rabies Vaccine,5,1,S6,Medical College Kota,0.812,0.966,8,3.91,0.0,9,1.17,15,85,0,0
C245,ORS,3,0,S2,District Hospital Jaipur,0.813,0.905,5,2.58,6.76,5,1.18,19,50,0,0
C246,Rabies Vaccine,5,1,S8,District Hospital Ajmer,0.826,0.879,5,2.84,0.0,5,1.36,19,86,0,0
C247,Paracetamol Injection,3,0,S7,PHC Sikar,0.659,0.928,9,2.6,0.35,4,0.64,17,55,0,0
C248,Salbutamol,4,0,S5,CHC Udaipur,0.658,0.787,3,0.58,4.76,4,0.77,2,79,6,1
C249,ORS,3,0,S1,District Hospital Ajmer,0.904,0.946,8,1.96,0.0,5,1.15,9,57,0,0
C250,Iron Folic Acid,2,0,S1,CHC Bikaner,0.8,1.0,11,1.58,0.0,0,1.13,12,56,0,0
C251,Iron Folic Acid,2,0,S2,District Hospital Jaipur,0.909,0.996,9,2.81,1.62,10,0.58,15,87,0,0
C252,Salbutamol,4,0,S6,Medical College Kota,0.861,1.0,3,4.51,3.64,5,1.35,9,85,0,0
C253,Amoxicillin,4,0,S4,District Hospital Jaipur,0.804,0.759,6,2.18,2.0,5,0.5,13,77,0,0
C254,ORS,3,0,S7,District Hospital Jaipur,0.99,0.93,11,2.6,3.52,9,0.88,6,97,2,1
C255,Iron Folic Acid,2,0,S2,PHC Sikar,0.716,0.846,6,2.3,2.99,3,1.59,19,77,0,0
C256,Salbutamol,4,0,S9,CHC Bikaner,0.761,0.764,8,3.47,2.03,3,0.92,15,82,0,0
C257,Oxytocin,5,0,S2,District Hospital Jodhpur,0.703,0.672,11,4.89,4.44,6,1.14,19,85,0,0
C258,Paracetamol Injection,3,0,S3,CHC Bikaner,0.874,0.692,9,2.64,1.17,8,0.78,6,92,2,0
C259,Insulin,5,1,S1,CHC Udaipur,0.77,0.996,11,3.75,0.0,9,2.14,11,86,0,1
C260,Amoxicillin,4,0,S2,PHC Alwar,0.814,0.812,10,0.0,2.21,6,0.54,11,73,0,1
C261,Insulin,5,1,S7,PHC Sikar,0.99,0.758,2,4.73,1.65,4,1.3,15,69,0,0
C262,ORS,3,0,S5,District Hospital Jaipur,0.935,0.751,9,1.26,0.0,9,1.12,20,73,0,1
C263,Pentavalent Vaccine,5,1,S7,District Hospital Jodhpur,0.888,0.983,2,3.56,1.52,0,1.22,6,100,2,1
C264,Pentavalent Vaccine,5,1,S6,District Hospital Jaipur,0.786,0.902,2,3.77,0.58,8,0.5,22,58,0,0
C265,Oxytocin,5,0,S7,District Hospital Ajmer,0.728,1.0,8,4.89,0.66,4,1.34,18,79,0,0
C266,Insulin,5,1,S1,CHC Udaipur,0.93,0.789,4,0.61,1.69,10,0.5,14,88,0,0
C267,Rabies Vaccine,5,1,S3,CHC Udaipur,0.943,1.0,2,4.51,0.0,9,1.52,18,83,0,0
C268,Rabies Vaccine,5,1,S1,CHC Bikaner,0.758,0.856,8,5.4,2.28,6,0.72,13,54,0,1
C269,Ceftriaxone,4,0,S7,CHC Bikaner,0.498,0.886,2,4.04,2.08,10,1.92,21,92,0,0
C270,Adrenaline Injection,5,0,S9,CHC Udaipur,0.687,0.888,2,5.14,3.42,8,0.97,19,93,0,1
C271,Salbutamol,4,0,S7,CHC Udaipur,0.98,0.864,10,2.36,3.34,4,1.62,18,100,0,0
C272,Amoxicillin,4,0,S8,CHC Udaipur,0.691,0.726,9,2.37,0.41,1,1.07,13,94,0,0
C273,ORS,3,0,S10,District Hospital Ajmer,0.73,0.851,9,2.22,0.39,10,0.84,11,81,0,0
C274,Anti-snake Venom,5,1,S2,CHC Udaipur,0.804,0.821,3,4.08,1.98,8,1.53,4,57,4,1
C275,Iron Folic Acid,2,0,S5,District Hospital Jodhpur,0.91,0.922,11,3.5,0.0,10,0.84,6,78,2,0
C276,Pentavalent Vaccine,5,1,S3,District Hospital Ajmer,0.762,0.938,6,2.97,4.36,9,1.09,13,60,0,1
C277,Paracetamol Injection,3,0,S8,PHC Sikar,0.867,0.737,3,3.78,1.22,10,0.68,23,67,0,1
C278,Insulin,5,1,S6,District Hospital Jaipur,0.99,0.87,2,2.42,3.84,4,1.04,14,62,0,1
C279,Pentavalent Vaccine,5,1,S6,CHC Bikaner,0.945,0.914,5,3.02,1.45,7,1.09,12,82,0,0
C280,Insulin,5,1,S5,PHC Alwar,0.755,0.804,4,0.15,2.3,1,1.39,16,55,0,0
C281,Anti-snake Venom,5,1,S8,District Hospital Jodhpur,0.767,1.0,7,2.85,0.81,0,0.75,16,76,0,1
C282,Anti-snake Venom,5,1,S10,PHC Sikar,0.835,0.85,2,1.74,0.97,4,1.38,3,71,5,0
C283,Paracetamol Injection,3,0,S2,District Hospital Jaipur,0.866,0.969,4,2.31,2.69,9,0.77,19,92,0,0
C284,Anti-snake Venom,5,1,S9,Medical College Kota,0.8,0.965,3,2.8,2.16,10,0.5,5,100,3,0
C285,Amoxicillin,4,0,S4,CHC Udaipur,0.895,0.949,10,3.48,1.51,1,1.33,24,72,0,1
C286,Adrenaline Injection,5,0,S5,PHC Alwar,0.777,0.971,10,4.12,1.67,0,0.74,7,53,1,0
C287,Paracetamol Injection,3,0,S6,CHC Udaipur,0.662,1.0,3,4.83,3.04,7,0.66,13,62,0,0
C288,Insulin,5,1,S6,CHC Bikaner,0.99,0.875,9,3.65,1.85,3,0.71,8,78,0,0
C289,Insulin,5,1,S4,Medical College Kota,0.917,0.752,8,3.16,1.5,7,1.22,24,58,0,1
C290,ORS,3,0,S5,CHC Bikaner,0.723,0.947,10,4.91,3.65,3,0.96,7,61,1,1
C291,Iron Folic Acid,2,0,S3,CHC Udaipur,0.74,0.842,11,2.23,0.0,5,1.43,5,89,3,0
C292,Adrenaline Injection,5,0,S8,PHC Alwar,0.516,0.799,9,4.08,0.69,3,1.38,13,81,0,0
C293,Iron Folic Acid,2,0,S6,Medical College Kota,0.77,0.767,9,0.0,1.23,4,1.53,14,73,0,0
C294,Adrenaline Injection,5,0,S7,District Hospital Jaipur,0.806,0.891,11,2.44,0.0,8,0.5,16,67,0,0
C295,Paracetamol Injection,3,0,S1,PHC Alwar,0.841,0.756,10,0.0,5.08,8,0.5,19,56,0,0
C296,Amoxicillin,4,0,S7,PHC Alwar,0.644,1.0,9,2.09,1.97,8,0.56,14,80,0,0
C297,Adrenaline Injection,5,0,S7,District Hospital Jodhpur,0.99,0.743,7,2.85,1.1,2,1.15,22,81,0,1
C298,Paracetamol Injection,3,0,S7,District Hospital Jodhpur,0.768,0.985,4,1.66,3.73,4,0.69,20,74,0,0
C299,Oxytocin,5,0,S10,Medical College Kota,0.719,0.771,11,3.3,3.71,0,0.95,15,62,0,1
C300,Iron Folic Acid,2,0,S8,CHC Bikaner,0.678,0.93,8,2.77,3.06,5,1.53,18,66,0,1
C301,Amoxicillin,4,0,S2,District Hospital Ajmer,0.956,0.935,8,0.67,2.68,8,1.54,21,72,0,0
C302,Insulin,5,1,S9,Medical College Kota,0.799,0.925,10,3.64,0.73,8,0.5,8,57,0,1
C303,Adrenaline Injection,5,0,S1,PHC Sikar,0.766,0.986,8,2.99,0.7,9,1.24,23,55,0,0
C304,Rabies Vaccine,5,1,S5,District Hospital Ajmer,0.99,0.87,10,4.44,0.39,7,0.5,17,70,0,1
C305,Paracetamol Injection,3,0,S3,PHC Alwar,0.903,0.714,4,1.59,0.0,5,0.69,11,85,0,1
C306,ORS,3,0,S10,District Hospital Jodhpur,0.935,0.654,4,3.37,0.0,7,0.55,24,77,0,0
C307,Amoxicillin,4,0,S8,District Hospital Jaipur,0.897,0.841,10,3.7,0.0,7,0.77,2,52,6,0
C308,Rabies Vaccine,5,1,S10,District Hospital Jaipur,0.581,0.942,11,3.72,0.5,2,0.69,16,98,0,0
C309,Adrenaline Injection,5,0,S9,District Hospital Ajmer,0.921,0.763,8,2.09,2.57,6,0.95,2,79,6,0
C310,Oxytocin,5,0,S9,Medical College Kota,0.706,0.883,7,5.07,2.07,3,1.05,15,95,0,1
C311,Paracetamol Injection,3,0,S9,CHC Bikaner,0.929,0.871,8,3.32,1.86,2,1.67,3,89,5,0
C312,Salbutamol,4,0,S4,District Hospital Jaipur,0.917,0.842,6,2.04,0.18,5,0.91,5,58,3,1
C313,Amoxicillin,4,0,S1,District Hospital Jodhpur,0.829,0.839,8,2.89,0.0,5,1.48,7,80,1,0
C314,Paracetamol Injection,3,0,S2,PHC Alwar,0.777,0.71,6,2.69,0.0,9,1.23,22,91,0,1
C315,Insulin,5,1,S6,CHC Udaipur,0.837,0.879,2,0.88,0.35,0,0.85,13,55,0,0
C316,Paracetamol Injection,3,0,S6,District Hospital Ajmer,0.945,0.781,6,0.0,0.54,6,1.08,2,75,6,1
C317,Iron Folic Acid,2,0,S4,CHC Udaipur,0.874,0.762,3,3.31,1.12,6,0.66,19,92,0,0
C318,Ceftriaxone,4,0,S1,PHC Sikar,0.795,0.931,11,0.0,2.23,0,1.15,7,92,1,1
C319,Ceftriaxone,4,0,S4,District Hospital Ajmer,0.99,1.0,6,2.25,0.28,3,0.84,16,53,0,0
C320,Adrenaline Injection,5,0,S2,PHC Alwar,0.827,0.832,10,1.55,3.11,6,0.83,24,93,0,1
C321,Iron Folic Acid,2,0,S9,District Hospital Jodhpur,0.99,0.804,3,0.75,0.0,6,1.05,14,93,0,0
C322,Pentavalent Vaccine,5,1,S6,District Hospital Jodhpur,0.971,0.703,11,1.88,0.0,3,1.05,6,97,2,1
C323,Ceftriaxone,4,0,S10,PHC Sikar,0.94,0.968,5,1.42,0.3,5,0.92,1,69,7,0
C324,Pentavalent Vaccine,5,1,S10,PHC Sikar,0.974,0.626,10,0.45,1.15,3,1.33,23,79,0,1
C325,Amoxicillin,4,0,S8,District Hospital Jodhpur,0.987,0.833,11,2.21,0.14,6,0.84,10,84,0,0
C326,Oxytocin,5,0,S5,CHC Udaipur,0.706,0.909,10,1.96,0.43,10,0.96,16,98,0,0
C327,Ceftriaxone,4,0,S5,PHC Sikar,0.798,0.863,11,0.0,4.19,6,1.85,8,56,0,0
C328,Pentavalent Vaccine,5,1,S8,Medical College Kota,0.976,0.981,2,2.1,0.24,3,0.63,21,57,0,1
C329,ORS,3,0,S6,District Hospital Ajmer,0.647,0.946,8,3.52,0.1,3,0.5,3,64,5,0
C330,ORS,3,0,S3,District Hospital Ajmer,0.775,0.993,8,2.97,1.19,5,0.94,4,51,4,0
C331,Amoxicillin,4,0,S5,CHC Udaipur,0.808,0.818,8,1.56,2.84,5,1.18,20,96,0,0
C332,Pentavalent Vaccine,5,1,S3,PHC Sikar,0.781,0.946,10,3.01,1.76,1,0.6,18,54,0,0
C333,Anti-snake Venom,5,1,S5,CHC Udaipur,0.676,0.949,3,2.42,0.66,6,1.43,21,80,0,0
C334,Oxytocin,5,0,S2,PHC Sikar,0.736,0.706,9,0.0,3.56,6,1.07,21,80,0,0
C335,Insulin,5,1,S7,District Hospital Ajmer,0.706,0.792,11,3.19,3.86,3,0.84,10,76,0,1
C336,Amoxicillin,4,0,S1,District Hospital Jodhpur,0.927,0.759,11,1.98,0.0,7,1.27,9,91,0,0
C337,Rabies Vaccine,5,1,S6,District Hospital Jaipur,0.718,0.985,11,0.11,4.55,8,0.89,2,97,6,1
C338,Adrenaline Injection,5,0,S2,District Hospital Jaipur,0.817,0.979,7,3.88,3.31,1,0.56,15,61,0,0
C339,ORS,3,0,S7,District Hospital Jodhpur,0.906,0.649,6,0.0,3.41,9,0.63,4,94,4,1
C340,ORS,3,0,S8,District Hospital Jaipur,0.786,0.947,5,1.75,1.29,10,1.09,16,54,0,0
C341,Paracetamol Injection,3,0,S3,CHC Udaipur,0.752,0.853,2,3.5,4.99,6,1.07,17,90,0,0
C342,Adrenaline Injection,5,0,S2,District Hospital Ajmer,0.791,0.838,9,1.19,0.0,10,0.63,1,80,7,0
C343,Adrenaline Injection,5,0,S3,CHC Udaipur,0.823,0.83,9,2.68,3.16,8,1.55,5,76,3,0
C344,Pentavalent Vaccine,5,1,S1,Medical College Kota,0.69,0.78,4,2.22,1.34,9,1.34,21,96,0,1
C345,Amoxicillin,4,0,S4,CHC Udaipur,0.99,0.939,2,1.12,2.09,10,1.07,20,58,0,1
C346,Ceftriaxone,4,0,S6,PHC Sikar,0.701,0.935,10,4.66,0.67,4,0.5,13,71,0,0
C347,Paracetamol Injection,3,0,S4,District Hospital Jodhpur,0.99,0.796,10,2.79,0.0,6,1.23,11,87,0,0
C348,Ceftriaxone,4,0,S6,CHC Udaipur,0.668,1.0,2,4.13,1.57,3,1.14,22,96,0,0
C349,Anti-snake Venom,5,1,S7,District Hospital Ajmer,0.736,0.976,4,1.94,1.22,8,0.82,20,53,0,0
C350,Insulin,5,1,S7,CHC Udaipur,0.925,0.762,10,0.32,0.57,10,0.88,15,75,0,1
C351,Ceftriaxone,4,0,S1,Medical College Kota,0.703,0.86,5,1.11,1.07,7,1.53,22,87,0,0
C352,Salbutamol,4,0,S10,PHC Alwar,0.99,0.9,10,2.7,0.47,1,0.73,6,76,2,0
C353,Insulin,5,1,S5,Medical College Kota,0.881,0.787,7,2.62,0.27,1,1.07,24,68,0,0
C354,ORS,3,0,S9,CHC Bikaner,0.943,0.966,5,2.75,2.38,9,1.83,16,88,0,0
C355,Rabies Vaccine,5,1,S2,Medical College Kota,0.792,0.928,11,2.79,1.32,0,0.66,12,57,0,0
C356,Ceftriaxone,4,0,S5,CHC Bikaner,0.626,0.928,10,2.69,2.45,6,1.45,9,70,0,0
C357,Insulin,5,1,S5,PHC Alwar,0.784,0.867,7,2.17,1.02,1,0.55,1,93,7,0
C358,Iron Folic Acid,2,0,S4,PHC Sikar,0.756,0.682,9,4.1,3.78,5,1.07,10,74,0,0
C359,Oxytocin,5,0,S7,PHC Sikar,0.826,0.918,4,4.15,4.98,5,1.05,10,81,0,1
C360,Anti-snake Venom,5,1,S7,CHC Bikaner,0.746,0.849,4,1.29,0.57,2,0.81,6,61,2,0
C361,Ceftriaxone,4,0,S3,District Hospital Jodhpur,0.721,0.798,5,4.08,6.45,2,1.05,13,56,0,1
C362,Rabies Vaccine,5,1,S2,District Hospital Jaipur,0.943,0.866,2,3.89,3.14,7,0.5,24,98,0,1
C363,Adrenaline Injection,5,0,S9,District Hospital Jaipur,0.897,0.934,10,4.16,3.16,8,0.88,14,77,0,0
C364,Adrenaline Injection,5,0,S9,Medical College Kota,0.699,0.749,10,5.16,0.85,0,0.98,4,95,4,0
C365,Ceftriaxone,4,0,S10,District Hospital Jodhpur,0.883,0.866,8,0.41,0.48,8,1.05,18,51,0,0
C366,Amoxicillin,4,0,S2,PHC Alwar,0.757,0.978,4,1.56,3.65,5,0.61,13,93,0,0
C367,Insulin,5,1,S3,PHC Sikar,0.748,0.968,8,3.91,0.0,0,1.15,17,86,0,0
C368,Amoxicillin,4,0,S3,District Hospital Jodhpur,0.877,0.639,8,4.16,0.3,2,1.04,13,95,0,0
C369,Pentavalent Vaccine,5,1,S7,CHC Udaipur,0.984,0.743,8,3.48,1.74,1,0.59,7,72,1,0
C370,Adrenaline Injection,5,0,S2,District Hospital Jodhpur,0.852,0.98,5,1.56,0.0,4,1.43,13,80,0,0
C371,Paracetamol Injection,3,0,S1,PHC Alwar,0.891,0.834,2,1.11,2.52,9,1.0,6,55,2,0
C372,Amoxicillin,4,0,S8,PHC Sikar,0.793,0.849,9,0.55,0.0,2,0.89,1,85,7,0
C373,Insulin,5,1,S2,District Hospital Jaipur,0.942,0.712,8,4.84,0.71,2,0.71,1,83,7,1
C374,Paracetamol Injection,3,0,S7,CHC Bikaner,0.679,0.912,7,0.0,0.26,8,1.05,16,92,0,0
C375,Iron Folic Acid,2,0,S10,CHC Udaipur,0.893,1.0,9,4.36,0.79,3,1.47,9,75,0,1
C376,Ceftriaxone,4,0,S9,Medical College Kota,0.962,0.959,3,4.39,1.61,3,1.03,10,94,0,1
C377,Salbutamol,4,0,S8,PHC Sikar,0.787,0.905,4,1.91,0.0,4,1.27,20,56,0,0
C378,Paracetamol Injection,3,0,S7,PHC Alwar,0.725,0.863,8,2.67,0.0,4,0.51,23,80,0,0
C379,Amoxicillin,4,0,S4,Medical College Kota,0.811,0.909,11,1.28,3.99,2,1.66,5,68,3,0
C380,Adrenaline Injection,5,0,S3,CHC Udaipur,0.706,0.92,9,1.55,2.37,6,1.19,3,63,5,1
C381,Rabies Vaccine,5,1,S4,PHC Alwar,0.788,0.906,4,1.28,0.0,3,2.02,13,62,0,1
C382,Iron Folic Acid,2,0,S2,Medical College Kota,0.71,0.904,8,1.26,0.73,6,1.31,17,95,0,1
C383,Iron Folic Acid,2,0,S3,CHC Udaipur,0.939,0.798,7,2.48,1.27,4,0.62,8,100,0,1
C384,Rabies Vaccine,5,1,S7,District Hospital Jaipur,0.911,0.863,9,2.75,0.0,10,1.29,3,94,5,1
C385,Anti-snake Venom,5,1,S1,PHC Sikar,0.813,0.856,8,3.01,0.9,4,0.57,5,90,3,0
C386,Insulin,5,1,S3,District Hospital Jodhpur,0.99,0.898,5,3.07,1.23,0,1.23,24,72,0,0
C387,Rabies Vaccine,5,1,S2,PHC Alwar,0.796,0.802,3,0.42,2.93,2,1.34,2,73,6,0
C388,ORS,3,0,S1,District Hospital Ajmer,0.861,0.854,10,2.83,0.83,6,0.87,23,80,0,0
C389,Salbutamol,4,0,S6,CHC Udaipur,0.846,0.804,9,0.0,5.34,4,1.15,11,66,0,0
C390,Pentavalent Vaccine,5,1,S2,Medical College Kota,0.925,0.658,7,2.72,3.05,4,0.84,20,65,0,1
C391,Oxytocin,5,0,S8,District Hospital Jaipur,0.651,0.819,10,3.54,6.69,5,0.75,6,95,2,0
C392,Pentavalent Vaccine,5,1,S1,PHC Alwar,0.883,0.76,5,2.23,1.35,10,0.98,1,77,7,1
C393,Pentavalent Vaccine,5,1,S4,Medical College Kota,0.807,0.815,3,4.99,0.9,10,1.04,15,67,0,1
C394,Ceftriaxone,4,0,S10,CHC Bikaner,0.99,0.888,9,2.47,2.67,5,0.5,22,50,0,1
C395,Insulin,5,1,S4,CHC Bikaner,0.855,0.804,10,3.5,0.5,3,0.63,24,96,0,0
C396,Rabies Vaccine,5,1,S9,PHC Alwar,0.725,0.798,7,0.63,1.98,0,1.59,16,67,0,1
C397,Insulin,5,1,S6,CHC Udaipur,0.929,0.906,9,2.97,0.0,2,0.97,21,65,0,0
C398,Rabies Vaccine,5,1,S8,CHC Bikaner,0.665,1.0,11,2.6,0.89,10,1.0,23,56,0,0
C399,Pentavalent Vaccine,5,1,S2,CHC Udaipur,0.99,0.734,3,1.73,0.0,4,1.17,9,69,0,0
C400,Oxytocin,5,0,S10,CHC Udaipur,0.942,0.797,2,3.5,0.81,6,0.96,5,51,3,1
C401,Insulin,5,1,S7,CHC Udaipur,0.978,0.803,11,3.44,3.84,1,1.54,7,52,1,0
C402,Amoxicillin,4,0,S7,District Hospital Jaipur,0.522,0.735,7,0.84,0.0,1,0.86,4,70,4,1
C403,Insulin,5,1,S1,CHC Bikaner,0.829,0.881,4,4.27,4.51,8,1.56,17,95,0,1
C404,Iron Folic Acid,2,0,S2,PHC Alwar,0.839,0.99,7,0.84,1.74,10,0.74,10,74,0,0
C405,Anti-snake Venom,5,1,S5,CHC Udaipur,0.846,0.719,9,0.19,1.95,8,1.0,24,58,0,0
C406,Insulin,5,1,S5,CHC Bikaner,0.794,0.892,8,4.98,0.74,0,0.92,18,91,0,0
C407,Oxytocin,5,0,S2,District Hospital Jaipur,0.979,0.795,5,3.93,1.94,8,1.0,5,68,3,0
C408,Iron Folic Acid,2,0,S9,CHC Bikaner,0.581,0.89,3,2.35,0.72,0,1.16,10,68,0,0
C409,Insulin,5,1,S1,District Hospital Jodhpur,0.724,0.669,8,3.19,3.86,3,1.15,1,98,7,1
C410,Rabies Vaccine,5,1,S10,District Hospital Jodhpur,0.866,0.786,5,4.44,2.55,10,0.74,14,56,0,1
C411,Salbutamol,4,0,S4,PHC Alwar,0.829,0.763,11,2.37,2.49,0,1.02,13,63,0,0
C412,Amoxicillin,4,0,S10,District Hospital Ajmer,0.934,0.935,3,0.72,2.35,2,0.75,23,61,0,0
C413,ORS,3,0,S3,CHC Bikaner,0.823,0.933,5,1.98,0.11,10,0.5,8,56,0,0
C414,Ceftriaxone,4,0,S6,Medical College Kota,0.943,0.914,4,3.14,2.43,4,0.71,9,64,0,0
C415,Rabies Vaccine,5,1,S1,CHC Bikaner,0.809,0.836,7,3.12,3.08,2,0.62,10,61,0,0
C416,Pentavalent Vaccine,5,1,S2,District Hospital Jaipur,0.712,0.918,2,3.32,5.13,1,1.45,10,70,0,1
C417,ORS,3,0,S2,District Hospital Ajmer,0.72,0.918,4,1.83,1.48,8,0.5,21,85,0,0
C418,ORS,3,0,S8,Medical College Kota,0.74,0.847,7,1.26,2.86,1,1.22,7,69,1,1
C419,Pentavalent Vaccine,5,1,S9,District Hospital Jaipur,0.912,0.911,7,3.4,1.08,9,1.05,6,73,2,0
C420,Paracetamol Injection,3,0,S8,District Hospital Ajmer,0.759,1.0,8,3.07,0.0,7,0.78,20,81,0,0
C421,Iron Folic Acid,2,0,S10,CHC Udaipur,0.77,0.972,11,1.02,1.86,1,0.5,23,78,0,0
C422,Pentavalent Vaccine,5,1,S8,District Hospital Jaipur,0.595,0.812,2,3.54,4.35,2,0.5,18,67,0,1
C423,Paracetamol Injection,3,0,S8,District Hospital Ajmer,0.785,0.901,8,4.9,2.94,3,1.16,19,72,0,0
C424,Insulin,5,1,S8,CHC Bikaner,0.923,0.858,10,1.47,0.0,5,1.06,13,68,0,0
C425,Iron Folic Acid,2,0,S8,PHC Sikar,0.852,0.818,3,4.56,0.0,1,0.85,23,89,0,0
C426,Salbutamol,4,0,S5,District Hospital Ajmer,0.933,0.935,10,2.92,0.79,9,0.73,24,56,0,0
C427,Ceftriaxone,4,0,S4,District Hospital Ajmer,0.672,0.806,11,0.07,0.91,0,0.9,4,89,4,0
C428,Oxytocin,5,0,S10,District Hospital Jaipur,0.777,0.604,5,2.71,3.55,4,0.86,2,95,6,1
C429,Pentavalent Vaccine,5,1,S10,District Hospital Ajmer,0.688,1.0,11,5.4,0.0,6,1.36,19,59,0,0
C430,Rabies Vaccine,5,1,S5,District Hospital Ajmer,0.912,0.71,7,1.33,3.68,2,0.83,9,67,0,0
C431,Salbutamol,4,0,S7,CHC Bikaner,0.749,1.0,10,1.93,0.52,9,0.69,17,97,0,1
C432,Paracetamol Injection,3,0,S3,CHC Udaipur,0.649,1.0,7,4.0,1.13,3,0.86,7,72,1,0
C433,Paracetamol Injection,3,0,S8,PHC Alwar,0.825,1.0,9,2.73,0.0,6,1.09,16,96,0,0
C434,Anti-snake Venom,5,1,S4,District Hospital Jodhpur,0.878,0.624,5,1.73,2.93,1,1.38,18,98,0,1
C435,Oxytocin,5,0,S8,Medical College Kota,0.79,0.892,8,1.68,3.18,4,0.91,13,68,0,0
C436,Amoxicillin,4,0,S4,Medical College Kota,0.6,0.84,3,1.49,0.0,4,0.98,10,59,0,0
C437,Adrenaline Injection,5,0,S3,District Hospital Ajmer,0.853,0.809,8,4.42,2.68,0,0.97,8,87,0,0
C438,Ceftriaxone,4,0,S4,CHC Bikaner,0.687,0.844,2,3.9,3.11,6,1.01,21,77,0,1
C439,Paracetamol Injection,3,0,S7,Medical College Kota,0.611,0.823,6,2.87,0.0,5,1.24,10,70,0,0
C440,Paracetamol Injection,3,0,S3,District Hospital Jaipur,0.99,0.909,8,0.0,1.35,6,1.38,6,100,2,0
C441,Insulin,5,1,S7,District Hospital Jaipur,0.782,0.862,3,5.28,0.63,0,1.15,22,56,0,0
C442,ORS,3,0,S8,District Hospital Ajmer,0.781,0.852,9,2.28,1.77,8,1.68,19,61,0,0
C443,Paracetamol Injection,3,0,S3,PHC Alwar,0.632,0.742,10,2.37,4.22,2,0.5,12,69,0,1
C444,Insulin,5,1,S1,CHC Bikaner,0.927,0.876,3,5.79,3.25,0,1.46,18,93,0,1
C445,Amoxicillin,4,0,S7,Medical College Kota,0.809,0.771,10,1.93,2.48,2,1.27,20,74,0,1
C446,Amoxicillin,4,0,S6,PHC Alwar,0.785,0.954,7,1.15,2.24,9,0.79,5,93,3,0
C447,Rabies Vaccine,5,1,S7,CHC Bikaner,0.835,1.0,11,1.83,3.93,8,1.27,23,88,0,0
C448,Rabies Vaccine,5,1,S2,CHC Udaipur,0.99,1.0,7,1.15,1.25,2,1.42,3,71,5,1
C449,Ceftriaxone,4,0,S3,District Hospital Ajmer,0.752,0.748,8,3.31,0.87,9,0.66,6,68,2,0
C450,Iron Folic Acid,2,0,S9,PHC Sikar,0.725,0.746,7,2.54,0.37,7,1.26,16,84,0,0
C451,Adrenaline Injection,5,0,S9,District Hospital Jodhpur,0.847,0.823,7,0.81,3.53,2,0.76,11,75,0,0
C452,Anti-snake Venom,5,1,S7,PHC Sikar,0.905,0.813,9,0.0,3.55,9,1.87,1,89,7,1
C453,Ceftriaxone,4,0,S3,District Hospital Jodhpur,0.923,0.68,8,2.78,0.0,3,0.77,11,94,0,0
C454,Amoxicillin,4,0,S6,District Hospital Jaipur,0.823,0.895,3,1.23,1.05,6,0.5,7,66,1,0
C455,Rabies Vaccine,5,1,S7,PHC Sikar,0.641,0.951,7,1.05,5.14,0,1.1,20,82,0,1
C456,Oxytocin,5,0,S7,CHC Bikaner,0.963,0.793,4,2.83,2.21,9,0.5,16,93,0,1
C457,Insulin,5,1,S6,CHC Udaipur,0.535,1.0,6,3.83,2.15,3,0.77,13,76,0,0
C458,Pentavalent Vaccine,5,1,S10,PHC Alwar,0.844,0.791,8,0.35,2.33,2,0.5,9,78,0,1
C459,Iron Folic Acid,2,0,S3,PHC Alwar,0.859,0.844,2,1.81,0.0,5,1.17,1,84,7,0
C460,Adrenaline Injection,5,0,S7,District Hospital Jaipur,0.949,0.847,4,3.77,1.2,9,0.96,5,58,3,0
